name	address	city	area	averagePriceUnit	averagePrice	buildingTime	propertyFee	propertyCompany	developerName	roomAmount	buildingAmount	volumeRate	greeningRate
唐山路685弄	唐山路685弄	上海	虹口	无	无	1900年建	暂无信息	暂无信息	暂无信息	0户	1栋	0.0	0.0%
曲阳路493号	曲阳路493号	上海	虹口	无	无	1900年建	暂无信息	暂无信息	暂无信息	20户	1栋	0.0	0.0%
曲阳路600号	曲阳路600号	上海	虹口	无	无	1981年建	暂无信息	暂无信息	暂无信息	24户	2栋	0.0	0.0%
四川北路807号	四川北路807号	上海	虹口	无	无	1900年建	暂无信息	暂无信息	暂无信息	1户	2栋	0.0	0.0%
贝港北区	秀南路65号	上海	奉贤	元/平	16569	1998年建	暂无信息	暂无信息	暂无信息	2151户	211栋	2.3	36.0%
绿洲康城亲水湾	康桥路1259弄,康桥路1558弄,康桥路1633弄,康桥路1603号,康桥路1657弄	上海	浦东	元/平	50799	2017年建	暂无信息	暂无信息	暂无信息	4003户	80栋	2.06	35.5%
浦发绿城	西泰林路750弄,西泰林路850弄,西泰林路901弄,永泰路1960弄,永泰路2079弄,永泰路2080弄,浦三路2801弄,东泰林路799弄	上海	浦东	元/平	47386	2005年建	暂无信息	暂无信息	暂无信息	7028户	568栋	1.3	35.0%
江海新村	江海新村	上海	奉贤	元/平	15147	2008年建	暂无信息	暂无信息	暂无信息	5422户	519栋	2.6	30.0%
新城金郡	临泽路189弄,临泽路89弄,云屏路1399弄,临泽路88弄,崇信路1518弄,临泽路188弄,云屏路1520弄31号	上海	嘉定	元/平	23020	2013年建	暂无信息	暂无信息	暂无信息	4072户	108栋	2.01	35.0%
上海绿城	锦和路99弄	上海	浦东	元/平	85977	2007年建	暂无信息	暂无信息	暂无信息	2649户	80栋	2.0	65.0%
竹园新村（浦东）	潍坊路238弄,潍坊路252弄,潍坊路260号,潍坊路335弄1-3支弄,潍坊路355弄,潍坊路375弄,源深路600弄1-3支弄,潍坊路262号	上海	浦东	元/平	77915	1996年建	暂无信息	暂无信息	暂无信息	3684户	185栋	0.0	0.0%
仁恒滨江园	浦明路99弄（一、二期）,浦城路99弄（三期）	上海	浦东	元/平	101102	2003年建	暂无信息	暂无信息	暂无信息	2003户	45栋	3.0	60.0%
上海康城（四期）	莘松路958弄（大浪湾道25-61号、瀑布湾道44-96号）	上海	闵行	元/平	30913	2008年建	暂无信息	暂无信息	暂无信息	3386户	72栋	2.19	51.0%
美岸栖庭（公寓）	何家湾路111弄,国权北路828弄,高逸路201弄	上海	宝山	元/平	54698	2013年建	暂无信息	暂无信息	暂无信息	3285户	135栋	1.6	46.0%
高兴花园	莘朱路863弄,莘朱路879弄	上海	闵行	元/平	46777	1998年建	暂无信息	暂无信息	暂无信息	3952户	199栋	2.0	40.0%
上海阳城	罗锦路888弄	上海	闵行	元/平	55975	2003年建	暂无信息	暂无信息	暂无信息	2738户	177栋	2.7	40.0%
中环1号（一期）	真北路4333弄	上海	宝山	元/平	52752	2011年建	暂无信息	暂无信息	暂无信息	2959户	95栋	0.0	0.0%
江南星城	顾戴路1199弄（一期）,顾戴路1325弄（二期）	上海	闵行	元/平	58522	2005年建	暂无信息	暂无信息	暂无信息	2917户	238栋	1.2	36.0%
鸿音广场	南芦公路1755弄	上海	浦东	元/平	13357	2013年建	暂无信息	暂无信息	暂无信息	702户	5栋	0.0	0.0%
东方曼哈顿	虹桥路168号	上海	徐汇	元/平	107356	2005年建	暂无信息	暂无信息	暂无信息	1631户	13栋	4.0	35.0%
尚海湾豪庭（一期）	凯滨路19弄,宛平南路1455弄	上海	徐汇	元/平	101419	2013年建	暂无信息	暂无信息	暂无信息	1227户	16栋	0.0	0.0%
田林十四村	田林十四村	上海	徐汇	元/平	70182	1993年建	暂无信息	暂无信息	暂无信息	2728户	69栋	2.0	35.0%
华沁家园	龙吴路1343弄	上海	徐汇	元/平	55092	2011年建	暂无信息	暂无信息	暂无信息	2720户	23栋	2.3	35.0%
百汇园	宛平南路1518弄	上海	徐汇	元/平	99605	2008年建	暂无信息	暂无信息	暂无信息	1107户	15栋	2.0	40.0%
长桥一村	长桥一村	上海	徐汇	元/平	76603	1994年建	暂无信息	暂无信息	暂无信息	1740户	82栋	1.1	35.0%
